Station;Longitude;Latitude;Elevation;Gravity
2   ;         -50.17291667;  -16.59791667;  5.940000E+02;  9.782882100496E+05
3   ;         -50.16875000;  -16.59791667;  5.950000E+02;  9.782874131998E+05
4   ;         -50.16458333;  -16.59791667;  6.030000E+02;  9.782844672333E+05
5   ;         -50.16041667;  -16.59791667;  6.160000E+02;  9.782799959746E+05
6   ;         -50.15625000;  -16.59791667;  6.260000E+02;  9.782764750023E+05
7   ;         -50.15208333;  -16.59791667;  6.420000E+02;  9.782711286136E+05
8   ;         -50.14791667;  -16.59791667;  6.550000E+02;  9.782667392436E+05
9   ;         -50.14375000;  -16.59791667;  6.520000E+02;  9.782673213109E+05
10  ;         -50.13958333;  -16.59791667;  6.330000E+02;  9.782728752315E+05
11  ;         -50.13541667;  -16.59791667;  6.430000E+02;  9.782695163922E+05
12  ;         -50.13125000;  -16.59791667;  6.450000E+02;  9.782686647732E+05
13  ;         -50.12708333;  -16.59791667;  6.420000E+02;  9.782693952567E+05
14  ;         -50.12291667;  -16.59791667;  6.380000E+02;  9.782704739880E+05
15  ;         -50.11875000;  -16.59791667;  6.240000E+02;  9.782746780632E+05
16  ;         -50.11458333;  -16.59791667;  6.120000E+02;  9.782783042203E+05
17  ;         -50.11041667;  -16.59791667;  6.180000E+02;  9.782764122690E+05
18  ;         -50.10625000;  -16.59791667;  6.090000E+02;  9.782791850421E+05
19  ;         -50.10208333;  -16.59791667;  6.220000E+02;  9.782751968941E+05
20  ;         -50.09791667;  -16.59791667;  6.360000E+02;  9.782709255686E+05
21  ;         -50.09375000;  -16.59791667;  6.450000E+02;  9.782682199638E+05
22  ;         -50.08958333;  -16.59791667;  6.480000E+02;  9.782673854341E+05
23  ;         -50.08541667;  -16.59791667;  6.520000E+02;  9.782662542311E+05
24  ;         -50.08125000;  -16.59791667;  6.540000E+02;  9.782657481188E+05
25  ;         -50.07708333;  -16.59791667;  6.600000E+02;  9.782640054745E+05
26  ;         -50.07291667;  -16.59791667;  6.720000E+02;  9.782603998069E+05
27  ;         -50.06875000;  -16.59791667;  6.670000E+02;  9.782620432746E+05
28  ;         -50.06458333;  -16.59791667;  6.770000E+02;  9.782590247729E+05
29  ;         -50.06041667;  -16.59791667;  6.860000E+02;  9.782562899960E+05
30  ;         -50.05625000;  -16.59791667;  6.820000E+02;  9.782575516677E+05
31  ;         -50.05208333;  -16.59791667;  6.540000E+02;  9.782662171009E+05
32  ;         -50.04791667;  -16.59791667;  6.550000E+02;  9.782658533825E+05
33  ;         -50.04375000;  -16.59791667;  6.560000E+02;  9.782654418797E+05
34  ;         -50.03958333;  -16.59791667;  6.510000E+02;  9.782668388073E+05
35  ;         -50.03541667;  -16.59791667;  6.480000E+02;  9.782675589269E+05
36  ;         -50.03125000;  -16.59791667;  6.700000E+02;  9.782604628169E+05
37  ;         -50.02708333;  -16.59791667;  6.900000E+02;  9.782539235368E+05
